Image URL,ID,DATASET,TOOL,MUT_EXT,ITER,Expected,Predicted,ASS 1,ASS 2,Misclass Human 1,Misclass Human 2,Valid Human 1,Valid Human 2,Validity?,Label Preservation?
126_SVHN_gan_high_iteration28_X6_Y0,126,SVHN,gan,high,28,6,0,6,6,0,0,0,0,yes,yes
180_SVHN_gan_low_iteration30_X7_Y2,180,SVHN,gan,low,30,7,2,Not a House Number,Not a House Number,1,1,1,1,no,N/A
230_SVHN_sd_high_iteration1_X0_Y9,230,SVHN,sd,high,1,0,9,8,8,1,1,0,0,yes,no
198_SVHN_vae_low_iteration1_X2_Y3,198,SVHN,vae,low,1,2,3,3,1,1,1,0,0,yes,no
226_SVHN_sd_high_iteration1_X2_Y7,226,SVHN,sd,high,1,2,7,1,1,1,1,0,0,yes,no
146_SVHN_gan_high_iteration22_X9_Y4,146,SVHN,gan,high,22,9,4,9,Not a House Number,0,1,0,1,N/A,N/A
42_SVHN_vae_high_iteration61_X1_Y7,42,SVHN,vae,high,61,1,7,Not a House Number,Not a House Number,1,1,1,1,no,N/A
138_SVHN_gan_high_iteration1_X3_Y7,138,SVHN,gan,high,1,3,7,2,3,1,0,0,0,yes,N/A
324_SVHN_sd_low_iteration201_X0_Y9,324,SVHN,sd,low,201,0,9,9,7,1,1,0,0,yes,no
316_SVHN_sd_low_iteration31_X6_Y1,316,SVHN,sd,low,31,6,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
118_SVHN_gan_high_iteration64_X1_Y7,118,SVHN,gan,high,64,1,7,Not a House Number,1,1,0,1,0,N/A,N/A
290_SVHN_sd_high_iteration1_X9_Y3,290,SVHN,sd,high,1,9,3,Not a House Number,Not a House Number,1,1,1,1,no,N/A
349_SVHN_sd_low_iteration155_X0_Y6,349,SVHN,sd,low,155,0,6,Not a House Number,Not a House Number,1,1,1,1,no,N/A
233_SVHN_sd_high_iteration1_X8_Y5,233,SVHN,sd,high,1,8,5,Not a House Number,2,1,1,1,0,N/A,no
223_SVHN_sd_high_iteration14_X4_Y1,223,SVHN,sd,high,14,4,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
213_SVHN_vae_low_iteration242_X4_Y3,213,SVHN,vae,low,242,4,3,Not a House Number,Not a House Number,1,1,1,1,no,N/A
90_SVHN_gan_high_iteration23_X9_Y0,90,SVHN,gan,high,23,9,0,0,9,1,0,0,0,yes,N/A
216_SVHN_vae_low_iteration21_X8_Y6,216,SVHN,vae,low,21,8,6,6,8,1,0,0,0,yes,N/A
43_SVHN_vae_high_iteration44_X1_Y3,43,SVHN,vae,high,44,1,3,3,3,1,1,0,0,yes,no
113_SVHN_gan_high_iteration12_X9_Y8,113,SVHN,gan,high,12,9,8,9,Not a House Number,0,1,0,1,N/A,N/A
32_SVHN_vae_high_iteration33_X1_Y6,32,SVHN,vae,high,33,1,6,Not a House Number,6,1,1,1,0,N/A,no
95_SVHN_gan_high_iteration108_X3_Y1,95,SVHN,gan,high,108,3,1,3,3,0,0,0,0,yes,yes
294_SVHN_sd_high_iteration42_X7_Y1,294,SVHN,sd,high,42,7,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
200_SVHN_vae_low_iteration154_X6_Y0,200,SVHN,vae,low,154,6,0,6,6,0,0,0,0,yes,yes
166_SVHN_gan_low_iteration137_X0_Y2,166,SVHN,gan,low,137,0,2,Not a House Number,Not a House Number,1,1,1,1,no,N/A
178_SVHN_gan_low_iteration9_X2_Y7,178,SVHN,gan,low,9,2,7,Not a House Number,8,1,1,1,0,N/A,no
98_SVHN_gan_high_iteration44_X6_Y8,98,SVHN,gan,high,44,6,8,Not a House Number,Not a House Number,1,1,1,1,no,N/A
280_SVHN_sd_high_iteration112_X0_Y9,280,SVHN,sd,high,112,0,9,Not a House Number,0,1,0,1,0,N/A,N/A
241_SVHN_sd_high_iteration12_X7_Y0,241,SVHN,sd,high,12,7,0,Not a House Number,Not a House Number,0,0,1,1,no,N/A
314_SVHN_sd_low_iteration144_X8_Y0,314,SVHN,sd,low,144,8,0,8,Not a House Number,1,0,0,1,N/A,N/A
119_SVHN_gan_high_iteration46_X4_Y1,119,SVHN,gan,high,46,4,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
337_SVHN_sd_low_iteration107_X0_Y9,337,SVHN,sd,low,107,0,9,0,Not a House Number,0,1,0,1,N/A,N/A
193_SVHN_vae_low_iteration120_X9_Y0,193,SVHN,vae,low,120,9,0,9,0,0,1,0,0,yes,N/A
82_SVHN_gan_high_iteration5_X6_Y8,82,SVHN,gan,high,5,6,8,0,0,1,1,0,0,yes,no
281_SVHN_sd_high_iteration1_X2_Y3,281,SVHN,sd,high,1,2,3,3,3,1,1,0,0,yes,no
208_SVHN_vae_low_iteration118_X1_Y4,208,SVHN,vae,low,118,1,4,0,Not a House Number,1,1,0,1,N/A,no
176_SVHN_gan_low_iteration124_X0_Y2,176,SVHN,gan,low,124,0,2,9,1,1,1,0,0,yes,no
234_SVHN_sd_high_iteration1_X0_Y8,234,SVHN,sd,high,1,0,8,3,Not a House Number,1,1,0,1,N/A,no
287_SVHN_sd_high_iteration4_X6_Y5,287,SVHN,sd,high,4,6,5,Not a House Number,Not a House Number,1,1,1,1,no,N/A
4_SVHN_vae_high_iteration16_X5_Y1,4,SVHN,vae,high,16,5,1,5,5,0,0,0,0,yes,yes
17_SVHN_vae_high_iteration32_X1_Y6,17,SVHN,vae,high,32,1,6,Not a House Number,9,1,1,1,0,N/A,no
328_SVHN_sd_low_iteration1_X2_Y0,328,SVHN,sd,low,1,2,0,Not a House Number,8,1,1,1,0,N/A,no
74_SVHN_gan_high_iteration55_X5_Y6,74,SVHN,gan,high,55,5,6,5,5,0,0,0,0,yes,yes
242_SVHN_sd_high_iteration28_X1_Y4,242,SVHN,sd,high,28,1,4,Not a House Number,1,1,0,1,0,N/A,N/A
313_SVHN_sd_low_iteration1_X9_Y3,313,SVHN,sd,low,1,9,3,9,9,0,0,0,0,yes,yes
254_SVHN_sd_high_iteration1_X1_Y8,254,SVHN,sd,high,1,1,8,Not a House Number,Not a House Number,1,1,1,1,no,N/A
341_SVHN_sd_low_iteration23_X2_Y9,341,SVHN,sd,low,23,2,9,8,8,1,1,0,0,yes,no
351_SVHN_sd_low_iteration116_X5_Y1,351,SVHN,sd,low,116,5,1,5,5,0,0,0,0,yes,yes
121_SVHN_gan_high_iteration22_X3_Y8,121,SVHN,gan,high,22,3,8,3,3,0,0,0,0,yes,yes
25_SVHN_vae_high_iteration16_X2_Y8,25,SVHN,vae,high,16,2,8,2,3,0,1,0,0,yes,N/A
170_SVHN_gan_low_iteration154_X4_Y3,170,SVHN,gan,low,154,4,3,Not a House Number,Not a House Number,1,1,1,1,no,N/A
184_SVHN_gan_low_iteration1_X4_Y1,184,SVHN,gan,low,1,4,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
270_SVHN_sd_high_iteration1_X8_Y5,270,SVHN,sd,high,1,8,5,Not a House Number,5,1,1,1,0,N/A,no
116_SVHN_gan_high_iteration28_X6_Y8,116,SVHN,gan,high,28,6,8,Not a House Number,Not a House Number,1,1,1,1,no,N/A
195_SVHN_vae_low_iteration118_X4_Y1,195,SVHN,vae,low,118,4,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
377_SVHN_sd_low_iteration64_X7_Y1,377,SVHN,sd,low,64,7,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
211_SVHN_vae_low_iteration8_X6_Y0,211,SVHN,vae,low,8,6,0,Not a House Number,1,1,1,1,0,N/A,no
73_SVHN_gan_high_iteration15_X0_Y2,73,SVHN,gan,high,15,0,2,Not a House Number,Not a House Number,1,1,1,1,no,N/A
173_SVHN_gan_low_iteration153_X1_Y7,173,SVHN,gan,low,153,1,7,Not a House Number,Not a House Number,1,1,1,1,no,N/A
258_SVHN_sd_high_iteration1_X4_Y1,258,SVHN,sd,high,1,4,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
12_SVHN_vae_high_iteration30_X8_Y9,12,SVHN,vae,high,30,8,9,8,8,0,0,0,0,yes,yes
160_SVHN_gan_low_iteration229_X3_Y1,160,SVHN,gan,low,229,3,1,8,Not a House Number,1,1,0,1,N/A,no
140_SVHN_gan_high_iteration1_X1_Y4,140,SVHN,gan,high,1,1,4,Not a House Number,Not a House Number,1,1,1,1,no,N/A
259_SVHN_sd_high_iteration7_X8_Y6,259,SVHN,sd,high,7,8,6,3,Not a House Number,1,1,0,1,N/A,no
86_SVHN_gan_high_iteration31_X3_Y1,86,SVHN,gan,high,31,3,1,4,Not a House Number,1,1,0,1,N/A,no
148_SVHN_gan_high_iteration1_X3_Y7,148,SVHN,gan,high,1,3,7,Not a House Number,Not a House Number,1,1,1,1,no,N/A
218_SVHN_sd_high_iteration11_X1_Y3,218,SVHN,sd,high,11,1,3,Not a House Number,Not a House Number,1,1,1,1,no,N/A
65_SVHN_vae_high_iteration145_X7_Y2,65,SVHN,vae,high,145,7,2,2,2,1,1,0,0,yes,no
306_SVHN_sd_high_iteration1_X1_Y0,306,SVHN,sd,high,1,1,0,0,Not a House Number,1,1,0,1,N/A,no
267_SVHN_sd_high_iteration1_X2_Y6,267,SVHN,sd,high,1,2,6,Not a House Number,Not a House Number,1,1,1,1,no,N/A
292_SVHN_sd_high_iteration36_X8_Y2,292,SVHN,sd,high,36,8,2,8,8,0,0,0,0,yes,yes
102_SVHN_gan_high_iteration8_X2_Y3,102,SVHN,gan,high,8,2,3,Not a House Number,Not a House Number,1,1,1,1,no,N/A
361_SVHN_sd_low_iteration1_X3_Y2,361,SVHN,sd,low,1,3,2,Not a House Number,Not a House Number,1,1,1,1,no,N/A
21_SVHN_vae_high_iteration10_X1_Y3,21,SVHN,vae,high,10,1,3,1,Not a House Number,0,1,0,1,N/A,N/A
334_SVHN_sd_low_iteration1_X8_Y3,334,SVHN,sd,low,1,8,3,8,8,0,0,0,0,yes,yes
240_SVHN_sd_high_iteration1_X5_Y6,240,SVHN,sd,high,1,5,6,5,5,0,0,0,0,yes,yes
190_SVHN_vae_low_iteration123_X0_Y7,190,SVHN,vae,low,123,0,7,0,Not a House Number,0,1,0,1,N/A,N/A
157_SVHN_gan_low_iteration139_X8_Y9,157,SVHN,gan,low,139,8,9,3,3,1,1,0,0,yes,no
68_SVHN_gan_high_iteration20_X6_Y8,68,SVHN,gan,high,20,6,8,8,8,1,1,0,0,yes,no
149_SVHN_gan_low_iteration18_X9_Y1,149,SVHN,gan,low,18,9,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
100_SVHN_gan_high_iteration28_X6_Y1,100,SVHN,gan,high,28,6,1,6,Not a House Number,0,1,0,1,N/A,N/A
