Image URL,ID,DATASET,TOOL,MUT_EXT,ITER,Expected,Predicted,ASS 1,ASS 2,Misclass Human 1,Misclass Human 2,Valid Human 1,Valid Human 2,Label Preservation?,Validity?
320_MNST_vae_high_iteration44_X3_Y5,320,MNST,vae,high,44,3,5,3,3,0,0,0,0,yes,yes
102_MNST_sd_low_iteration135_X6_Y4,102,MNST,sd,low,135,6,4,Not a Digit,Not a Digit,1,1,1,1,no,no
279_MNST_vae_high_iteration55_X1_Y2,279,MNST,vae,high,55,1,2,2,7,1,1,0,0,no,yes
136_MNST_gan_low_iteration177_X5_Y9,136,MNST,gan,low,177,5,9,5,5,0,0,0,0,yes,yes
318_MNST_vae_high_iteration47_X8_Y5,318,MNST,vae,high,47,8,5,8,8,0,0,0,0,yes,yes
97_MNST_sd_low_iteration1_X2_Y6,97,MNST,sd,low,1,2,6,Not a Digit,Not a Digit,1,1,1,1,no,no
226_MNST_gan_high_iteration31_X3_Y8,226,MNST,gan,high,31,3,8,6,3,1,0,0,0,N/A,yes
162_MNST_gan_high_iteration116_X3_Y6,162,MNST,gan,high,116,3,6,8,8,1,1,0,0,no,yes
129_MNST_sd_low_iteration33_X2_Y6,129,MNST,sd,low,33,2,6,Not a Digit,Not a Digit,1,1,1,1,no,no
321_MNST_vae_high_iteration101_X5_Y1,321,MNST,vae,high,101,5,1,Not a Digit,Not a Digit,1,1,1,1,no,no
183_MNST_gan_high_iteration70_X6_Y0,183,MNST,gan,high,70,6,0,6,6,0,0,0,0,yes,yes
245_MNST_vae_high_iteration91_X5_Y9,245,MNST,vae,high,91,5,9,Not a Digit,6,1,1,1,0,no,N/A
313_MNST_vae_high_iteration61_X4_Y8,313,MNST,vae,high,61,4,8,8,8,1,1,0,0,no,yes
56_MNST_sd_high_iteration65_X0_Y1,56,MNST,sd,high,65,0,1,1,1,1,1,0,0,no,yes
212_MNST_gan_high_iteration94_X4_Y9,212,MNST,gan,high,94,4,9,4,4,0,0,0,0,yes,yes
137_MNST_gan_low_iteration163_X4_Y9,137,MNST,gan,low,163,4,9,4,4,0,0,0,0,yes,yes
305_MNST_vae_high_iteration110_X7_Y4,305,MNST,vae,high,110,7,4,4,4,1,1,0,0,no,yes
295_MNST_vae_high_iteration47_X8_Y9,295,MNST,vae,high,47,8,9,9,9,1,1,0,0,no,yes
250_MNST_vae_high_iteration101_X1_Y7,250,MNST,vae,high,101,1,7,7,7,1,1,0,0,no,yes
4_MNST_sd_high_iteration19_X9_Y8,4,MNST,sd,high,19,9,8,8,4,1,1,0,0,no,yes
34_MNST_sd_high_iteration10_X3_Y2,34,MNST,sd,high,10,3,2,Not a Digit,Not a Digit,1,1,1,1,no,no
28_MNST_sd_high_iteration4_X5_Y6,28,MNST,sd,high,4,5,6,Not a Digit,Not a Digit,1,1,1,1,no,no
175_MNST_gan_high_iteration125_X4_Y1,175,MNST,gan,high,125,4,1,Not a Digit,Not a Digit,1,1,1,1,no,no
328_MNST_vae_high_iteration96_X1_Y4,328,MNST,vae,high,96,1,4,4,4,1,1,0,0,no,yes
5_MNST_sd_high_iteration62_X8_Y7,5,MNST,sd,high,62,8,7,6,7,1,1,0,0,no,yes
284_MNST_vae_high_iteration105_X4_Y9,284,MNST,vae,high,105,4,9,4,4,0,0,0,0,yes,yes
184_MNST_gan_high_iteration58_X6_Y0,184,MNST,gan,high,58,6,0,Not a Digit,Not a Digit,1,1,1,1,no,no
256_MNST_vae_high_iteration75_X6_Y4,256,MNST,vae,high,75,6,4,4,4,1,1,0,0,no,yes
269_MNST_vae_high_iteration105_X6_Y5,269,MNST,vae,high,105,6,5,6,8,0,1,0,0,N/A,yes
109_MNST_sd_low_iteration29_X9_Y4,109,MNST,sd,low,29,9,4,4,4,1,1,0,0,no,yes
68_MNST_sd_high_iteration150_X3_Y5,68,MNST,sd,high,150,3,5,3,3,0,0,0,0,yes,yes
336_MNST_vae_high_iteration49_X9_Y4,336,MNST,vae,high,49,9,4,9,9,0,0,0,0,yes,yes
82_MNST_sd_high_iteration1_X7_Y2,82,MNST,sd,high,1,7,2,Not a Digit,Not a Digit,1,1,1,1,no,no
51_MNST_sd_high_iteration30_X5_Y3,51,MNST,sd,high,30,5,3,Not a Digit,Not a Digit,1,1,1,1,no,no
231_MNST_gan_high_iteration26_X5_Y9,231,MNST,gan,high,26,5,9,5,5,0,0,0,0,yes,yes
205_MNST_gan_high_iteration155_X5_Y9,205,MNST,gan,high,155,5,9,5,5,0,0,0,0,yes,yes
287_MNST_vae_high_iteration78_X4_Y9,287,MNST,vae,high,78,4,9,9,Not a Digit,1,1,0,1,no,N/A
108_MNST_sd_low_iteration175_X7_Y2,108,MNST,sd,low,175,7,2,Not a Digit,Not a Digit,1,1,1,1,no,no
169_MNST_gan_high_iteration190_X3_Y9,169,MNST,gan,high,190,3,9,Not a Digit,Not a Digit,1,1,1,1,no,no
83_MNST_sd_high_iteration7_X1_Y4,83,MNST,sd,high,7,1,4,Not a Digit,Not a Digit,1,1,1,1,no,no
240_MNST_vae_high_iteration42_X9_Y7,240,MNST,vae,high,42,9,7,9,9,0,0,0,0,yes,yes
14_MNST_sd_high_iteration15_X8_Y2,14,MNST,sd,high,15,8,2,2,Not a Digit,1,1,0,1,no,N/A
220_MNST_gan_high_iteration92_X2_Y1,220,MNST,gan,high,92,2,1,2,Not a Digit,0,1,0,1,N/A,N/A
70_MNST_sd_high_iteration1_X7_Y2,70,MNST,sd,high,1,7,2,2,Not a Digit,1,1,0,1,no,N/A
331_MNST_vae_high_iteration101_X8_Y9,331,MNST,vae,high,101,8,9,9,9,1,1,0,0,no,yes
124_MNST_sd_low_iteration87_X7_Y2,124,MNST,sd,low,87,7,2,7,7,0,0,0,0,yes,yes
88_MNST_sd_high_iteration8_X0_Y2,88,MNST,sd,high,8,0,2,2,Not a Digit,1,1,0,1,no,N/A
149_MNST_gan_high_iteration77_X9_Y5,149,MNST,gan,high,77,9,5,9,Not a Digit,0,1,0,1,N/A,N/A
