Image URL,ID,DATASET,TOOL,MUT_EXT,ITER,Expected,Predicted,ASS 1,ASS 2,Misclass Human 1,Misclass Human 2,Valid Human 1,Valid Human 2,Label Preservation?,Validity?
344_CIF_sd_high_iteration32_X7_Y3,344,CIF,sd,high,32,7,3,7,7,0,0,0,0,yes,yes
33_CIF_sd_low_iteration1_X2_Y3,33,CIF,sd,low,1,2,3,not a real-world object,5,1,1,1,0,no,N/A
259_CIF_vae_high_iteration16_X8_Y3,259,CIF,vae,high,16,8,3,not a real-world object,not a real-world object,1,1,1,1,no,no
334_CIF_sd_high_iteration1_X4_Y3,334,CIF,sd,high,1,4,3,not a real-world object,not a real-world object,1,1,1,1,no,no
9_CIF_vae_low_iteration62_X4_Y7,9,CIF,vae,low,62,4,7,not a real-world object,not a real-world object,1,1,1,1,no,no
254_CIF_vae_high_iteration1_X7_Y2,254,CIF,vae,high,1,7,2,not a real-world object,3,1,1,1,0,no,N/A
107_CIF_sd_low_iteration150_X0_Y8,107,CIF,sd,low,150,0,8,0,0,0,0,0,0,yes,yes
127_CIF_gan_high_iteration1_X5_Y2,127,CIF,gan,high,1,5,2,not a real-world object,5,1,0,1,0,N/A,N/A
105_CIF_sd_low_iteration245_X8_Y3,105,CIF,sd,low,245,8,3,not a real-world object,8,1,0,1,0,N/A,N/A
8_CIF_vae_low_iteration223_X8_Y0,8,CIF,vae,low,223,8,0,not a real-world object,9,1,1,1,0,no,N/A
45_CIF_sd_low_iteration163_X5_Y3,45,CIF,sd,low,163,5,3,not a real-world object,not a real-world object,1,1,1,1,no,no
134_CIF_gan_high_iteration20_X7_Y9,134,CIF,gan,high,20,7,9,7,not a real-world object,0,1,0,1,N/A,N/A
137_CIF_gan_high_iteration71_X1_Y9,137,CIF,gan,high,71,1,9,1,1,0,0,0,0,yes,yes
44_CIF_sd_low_iteration1_X8_Y0,44,CIF,sd,low,1,8,0,0,0,1,1,0,0,no,yes
136_CIF_gan_high_iteration5_X9_Y3,136,CIF,gan,high,5,9,3,not a real-world object,not a real-world object,1,1,1,1,no,no
332_CIF_sd_high_iteration3_X9_Y3,332,CIF,sd,high,3,9,3,not a real-world object,1,1,1,1,0,no,N/A
89_CIF_sd_low_iteration1_X7_Y3,89,CIF,sd,low,1,7,3,not a real-world object,not a real-world object,1,1,1,1,no,no
288_CIF_sd_high_iteration7_X7_Y4,288,CIF,sd,high,7,7,4,7,7,0,0,0,0,yes,yes
36_CIF_sd_low_iteration9_X9_Y3,36,CIF,sd,low,9,9,3,1,1,1,1,0,0,no,yes
132_CIF_gan_high_iteration27_X5_Y2,132,CIF,gan,high,27,5,2,2,not a real-world object,1,1,0,1,no,N/A
20_CIF_vae_low_iteration72_X3_Y6,20,CIF,vae,low,72,3,6,not a real-world object,5,1,1,1,0,no,N/A
290_CIF_sd_high_iteration1_X7_Y3,290,CIF,sd,high,1,7,3,7,7,0,0,0,0,yes,yes
229_CIF_vae_high_iteration25_X8_Y0,229,CIF,vae,high,25,8,0,not a real-world object,5,1,1,1,0,no,N/A
81_CIF_sd_low_iteration50_X2_Y3,81,CIF,sd,low,50,2,3,2,2,0,0,0,0,yes,yes
84_CIF_sd_low_iteration1_X4_Y2,84,CIF,sd,low,1,4,2,4,4,0,0,0,0,yes,yes
122_CIF_gan_high_iteration168_X6_Y1,122,CIF,gan,high,168,6,1,not a real-world object,6,1,0,1,0,N/A,N/A
125_CIF_gan_high_iteration55_X5_Y2,125,CIF,gan,high,55,5,2,not a real-world object,5,1,0,1,0,N/A,N/A
258_CIF_vae_high_iteration6_X9_Y8,258,CIF,vae,high,6,9,8,not a real-world object,2,1,1,1,0,no,N/A
150_CIF_gan_high_iteration1_X3_Y5,150,CIF,gan,high,1,3,5,not a real-world object,2,1,1,1,0,no,N/A
322_CIF_sd_high_iteration26_X4_Y2,322,CIF,sd,high,26,4,2,not a real-world object,4,1,0,1,0,N/A,N/A
341_CIF_sd_high_iteration7_X9_Y8,341,CIF,sd,high,7,9,8,9,9,0,0,0,0,yes,yes
203_CIF_gan_low_iteration179_X9_Y1,203,CIF,gan,low,179,9,1,1,9,1,0,0,0,N/A,yes
57_CIF_sd_low_iteration33_X1_Y0,57,CIF,sd,low,33,1,0,1,1,0,0,0,0,yes,yes
91_CIF_sd_low_iteration1_X2_Y3,91,CIF,sd,low,1,2,3,2,2,0,0,0,0,yes,yes
178_CIF_gan_high_iteration7_X5_Y3,178,CIF,gan,high,7,5,3,9,3,1,1,0,0,no,yes
191_CIF_gan_low_iteration142_X6_Y0,191,CIF,gan,low,142,6,0,6,4,0,1,0,0,N/A,yes
147_CIF_gan_high_iteration81_X1_Y6,147,CIF,gan,high,81,1,6,2,0,1,1,0,0,no,yes
37_CIF_sd_low_iteration102_X6_Y3,37,CIF,sd,low,102,6,3,6,5,0,1,0,0,N/A,yes
52_CIF_sd_low_iteration1_X2_Y4,52,CIF,sd,low,1,2,4,2,2,0,0,0,0,yes,yes
277_CIF_sd_high_iteration26_X7_Y3,277,CIF,sd,high,26,7,3,7,7,0,0,0,0,yes,yes
198_CIF_gan_low_iteration26_X7_Y3,198,CIF,gan,low,26,7,3,not a real-world object,not a real-world object,1,1,1,1,no,no
318_CIF_sd_high_iteration37_X8_Y2,318,CIF,sd,high,37,8,2,8,not a real-world object,0,1,0,1,N/A,N/A
196_CIF_gan_low_iteration159_X9_Y0,196,CIF,gan,low,159,9,0,1,not a real-world object,1,1,0,1,no,N/A
189_CIF_gan_low_iteration40_X2_Y5,189,CIF,gan,low,40,2,5,6,not a real-world object,1,1,0,1,no,N/A
24_CIF_vae_low_iteration24_X7_Y3,24,CIF,vae,low,24,7,3,7,7,0,0,0,0,yes,yes
